category,question,answer,source_url
Payments,"What is the Jupiter All-in-1
            Savings Account?","The All-in-1 Savings Account on Jupiter powered by Federal Bank helps you manage your money better with
            faster payments, smart saving tools, and investment insights—all in one place.",https://jupiter.money/savings-account/
Payments,"How do I open a Jupiter Savings
            Account?",You can open your Jupiter digital account by following a few simple steps:Install the Jupiter appTap ‘Open an all-in-1 Savings Account’ while selecting a Jupiter experienceComplete your video KYC,https://jupiter.money/savings-account/
Payments,"Do I earn Jewels for making
            payments?",Yes! You earn up to 1% cashback as Jewels on:UPI paymentsDebit Card spends (online & offline)Investments in Digital Gold,https://jupiter.money/savings-account/
Payments,"Can I use my Jupiter Debit Card
            outside India?","Absolutely. You can spend in over 120 countries with 0% forex fee on international transactions using your
            Jupiter Debit Card.",https://jupiter.money/savings-account/
Payments,"Do I earn Jewels on
            International payments?","Yes, you also earn up to 1% cashback on online and offline international spends.",https://jupiter.money/savings-account/
Payments,"What payment modes are available
            with the Jupiter account?","You can make superfast payments with UPI, IMPS, and debit card—whether it's for recharges, bills, or
            merchant transactions",https://jupiter.money/savings-account/
Payments,"Can I invest using my Jupiter
            account?","Yes! You can invest in Mutual Funds and Digital Gold with up to 1.5% extra returns on curated mutual fund
            plans.",https://jupiter.money/savings-account/
Accounts,What additional benefits do I get with the Savings Account?,Yes! You earn up to 1% cashback as Jewels on:Free cheque bookFree IMPS transfersATM withdrawals,https://jupiter.money/savings-account/
Accounts,"How is this Salary account
            different then?","Our Salary Account can also be opened by an employee and does not necessarily need an employer to open one
            for you.",https://jupiter.money/pro-salary-account/
Accounts,"Why should I switch to Salary
            account?","It’s your Salary Account with extra benefits. Get the most out of your salary. Salary account is an upgraded
            version of the Basic account. Receive your monthly salary in your new Salary Account to earn maximum rewards
            on Jupiter, free credit & debit card, Mini Loans starting from 0% interest.",https://jupiter.money/pro-salary-account/
Accounts,How do I open a Salary account?,"To open a Salary account, follow these easy steps: 1. Download the Jupiter app and create your account 2.
            Complete your video verification / full KYC 3. Submit your company's name and verify your work email address
            4. Share your new account details with HR and make sure to get your next salary in your new Salary Account
            within 60 days. That's it! Once your salary is credited, you'll automatically be upgraded to a Salary
            account.",https://jupiter.money/pro-salary-account/
Payments,already have a Savings Account on the Jupiter app. How do I upgrade to a Salary account?,"To upgrade to a Salary account, please go to 'Settings' on the Jupiter app and follow 3 simple steps.
            Currently open to select few.",https://jupiter.money/pro-salary-account/
Payments,"Who all can open a Salary
            account on Jupiter?","To open a Salary account, please ensure that your in-hand salary is more ₹20,000. However, this is
            negotiable for teams. Please connect with us to learn more about the Salary account.",https://jupiter.money/pro-salary-account/
Accounts,"How much time does it take to
            open a Salary account?",It takes only 3 minutes to complete all the steps to open a Salary account.,https://jupiter.money/pro-salary-account/
Accounts,"Can I change my already existing
            salary account? How?","Create a new account on the app, submit your new bank account details with your HR to receive further
            salaries in that account and turn yourself into a Salary Account user",https://jupiter.money/pro-salary-account/
Accounts,"Are there any charges for
            opening a Salary account?","Opening a Salary Account on Jupiter is completely free. There are also no charges for UPI, NEFT, and RTGS
            transactions.",https://jupiter.money/pro-salary-account/
Loans,What is Mini-Loan?,"By opening a Salary account, you can instantly withdraw your partial salary before salary day with no
            interest charges.",https://jupiter.money/pro-salary-account/
Accounts,"I'm a non-salaried individual.
            How do I upgrade to Salary account?","Keep an eye out – we'll bring the benefits of Salary account to freelancers & other non-salaried individuals
            soon.",https://jupiter.money/pro-salary-account/
Accounts,"Which documents are required for
            opening a Salary account?",Your Aadhaar card linked with your phone number and PAN card are required to open a Salary account.,https://jupiter.money/pro-salary-account/
Cards,"How can I apply for the Edge+
            CSB Bank RuPay Credit Card?","You can check your eligibility and credit limit for the credit card instantly. To apply for the card,
            download the Jupiter app and complete your application anytime. It’s 100% digital with no paperwork!",https://jupiter.money/edge-plus-upi-rupay-credit-card/
General,"What's the maximum cashback I
            can earn with Edge+?","There is no maximum limit of cashback which can be earned with Edge+, there are limits on accelerated
            cashback for categories.",https://jupiter.money/edge-plus-upi-rupay-credit-card/
General,"What is the maximum cashback I
            can earn for each category?","The maximum cashback applicable under each category is: 10% cashback - ₹1,500 per billing cycle (merchant
            limit of ₹500) 5% cashback - ₹1,000 per billing cycle 1% cashback - No Limit",https://jupiter.money/edge-plus-upi-rupay-credit-card/
General,How is cashback credited?,"The cashback amount is credited to your account instantly in the form of Jewels. 5 Jewels = ₹1 and you can
            redeem Jewels as cash, gift cards, Digital Gold, and for bill payments.",https://jupiter.money/edge-plus-upi-rupay-credit-card/
General,Which brands does Edge+ offer cashback on?,"10% cashback on shopping: Amazon, Flipkart, Myntra, Ajio, Zara, Nykaa, Croma, Reliance Trends, Tata Cliq,
            Reliance Digital 5% cashback on travel: MakeMyTrip, EaseMyTrip, Yatra, Cleartrip 1% cashback: On all other
            offline & online eligible spends. Please note that we display third-party brand logos only to indicate where
            cashback is applicable, and it does not amount to any endorsement by either party. All trademarks belong to
            their respective owners. The brands are subject to change.",https://jupiter.money/edge-plus-upi-rupay-credit-card/
